"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14"
"2466",1942044.00,1942045.00,304475.00,1313910.00,323660.00,1914755.00,220425.00,517445.00,1131680.00,45205.00,403885.00,81100.00,262435.00,60345.00
"24660001",657.00,655.00,100.00,415.00,145.00,590.00,0.00,325.00,260.00,5.00,35.00,5.00,20.00,10.00
"24660002",534.00,535.00,85.00,390.00,65.00,520.00,0.00,275.00,240.00,5.00,25.00,10.00,15.00,0.00
"24660003",303.00,305.00,40.00,210.00,45.00,305.00,0.00,165.00,135.00,0.00,30.00,5.00,20.00,5.00
"24660004",283.00,280.00,35.00,210.00,45.00,285.00,0.00,150.00,125.00,5.00,5.00,0.00,5.00,0.00
"24660005",235.00,235.00,35.00,170.00,30.00,235.00,0.00,125.00,110.00,0.00,,,,
"24660006",411.00,415.00,55.00,305.00,45.00,410.00,5.00,225.00,175.00,0.00,50.00,15.00,35.00,5.00
"24660007",677.00,680.00,120.00,470.00,85.00,680.00,0.00,400.00,275.00,0.00,75.00,25.00,40.00,10.00
"24660008",534.00,535.00,70.00,385.00,80.00,525.00,0.00,295.00,225.00,0.00,40.00,10.00,25.00,5.00
"24660009",245.00,245.00,20.00,185.00,40.00,245.00,0.00,120.00,120.00,0.00,,,,
"24660010",659.00,660.00,60.00,365.00,235.00,615.00,5.00,340.00,265.00,5.00,40.00,10.00,25.00,10.00
"24660011",644.00,645.00,100.00,455.00,90.00,645.00,5.00,365.00,270.00,5.00,125.00,35.00,75.00,10.00
"24660012",821.00,820.00,120.00,630.00,65.00,825.00,10.00,435.00,375.00,5.00,140.00,45.00,90.00,15.00
"24660013",481.00,480.00,85.00,320.00,75.00,480.00,0.00,275.00,195.00,5.00,65.00,10.00,45.00,10.00
"24660014",531.00,530.00,105.00,345.00,80.00,530.00,5.00,280.00,240.00,5.00,35.00,15.00,25.00,5.00
"24660015",432.00,430.00,70.00,335.00,30.00,435.00,5.00,295.00,140.00,0.00,175.00,50.00,110.00,15.00
"24660016",692.00,690.00,95.00,520.00,80.00,695.00,5.00,350.00,340.00,0.00,15.00,5.00,10.00,5.00
"24660017",505.00,505.00,60.00,365.00,80.00,505.00,5.00,320.00,180.00,0.00,90.00,10.00,70.00,20.00
"24660020",431.00,430.00,40.00,295.00,95.00,430.00,0.00,245.00,190.00,0.00,5.00,0.00,5.00,5.00
"24660021",565.00,565.00,170.00,345.00,50.00,565.00,0.00,390.00,170.00,5.00,265.00,135.00,115.00,15.00
"24660022",329.00,330.00,40.00,190.00,95.00,330.00,0.00,205.00,130.00,0.00,5.00,0.00,0.00,5.00
