Int_No,Intersection (rue 1),Intersection (rue 2),Arrond.,Traverse sonore,Fait,longitude,latitude,X,Y
9,Coronation,Côte-Saint-Luc,Côte-des-Neiges - Notre-Dame-de-Grâce,Ouest,OUI,-73.6533891982492,45.4659875668377,292805.381,5036240.298
15,Côte-Saint-Luc,Rosedale,Côte-des-Neiges - Notre-Dame-de-Grâce,Ouest (annulé),Non,-73.6514079120473,45.4680674372955,292960.7476,5036471.1398
35,Cavendish,Saint-Jacques,Côte-des-Neiges - Notre-Dame-de-Grâce,Ouest,OUI,-73.6242106724257,45.4614893295041,295086.29,5035736.47
36,Cavendish,Sherbrooke,Côte-des-Neiges - Notre-Dame-de-Grâce,Est,OUI,-73.6289698271755,45.4637247074145,294714.506,5035985.473
36,Cavendish,Sherbrooke,Côte-des-Neiges - Notre-Dame-de-Grâce,Nord,OUI,-73.6289698271755,45.4637247074145,294714.506,5035985.473
37,Coronation,Monkland/Sherbrooke,Côte-des-Neiges - Notre-Dame-de-Grâce,Est,OUI,-73.6369264443321,45.4596716126682,294091.528,5035536.083
37,Coronation,Monkland/Sherbrooke,Côte-des-Neiges - Notre-Dame-de-Grâce,Est,OUI,-73.6369264443321,45.4596716126682,294091.528,5035536.083
38,Côte-Saint-Antoine,Décarie,Côte-des-Neiges - Notre-Dame-de-Grâce,Sud,OUI,-73.6132639593097,45.4763078316755,295944.682,5037381.983
43,Décarie,Monkland inter. Est,Côte-des-Neiges - Notre-Dame-de-Grâce,Sud,OUI,-73.619575181999,45.47914056986,295451.72,5037697.5
47,Décarie,Sherbrooke,Côte-des-Neiges - Notre-Dame-de-Grâce,Est,OUI,-73.6088290126253,45.4743110173467,296291.119,5037159.598
48,Elmhurst/Patricia,Sherbrooke,Côte-des-Neiges - Notre-Dame-de-Grâce,Est,OUI,-73.6414303798348,45.4550215386234,293738.384,5035019.932
48,Elmhurst/Patricia,Sherbrooke,Côte-des-Neiges - Notre-Dame-de-Grâce,Sud,OUI,-73.6414303798348,45.4550215386234,293738.384,5035019.932
50,Girouard,Monkland,Côte-des-Neiges - Notre-Dame-de-Grâce,Ouest,OUI,-73.6216740400068,45.4768692542541,295287.251,5037445.335
53,Girouard,Sherbrooke,Côte-des-Neiges - Notre-Dame-de-Grâce,Est,OUI,-73.611981142722,45.4725333630044,296044.392,5036962.386
58,Maisonneuve,Marlowe,Côte-des-Neiges - Notre-Dame-de-Grâce,Est,OUI,-73.6045243762723,45.4738728162761,296627.617,5037110.454
58,Maisonneuve,Marlowe,Côte-des-Neiges - Notre-Dame-de-Grâce,Sud,Non,-73.6045243762723,45.4738728162761,296627.617,5037110.454
67,Rosedale,Sherbrooke,Côte-des-Neiges - Notre-Dame-de-Grâce,Ouest,OUI,-73.6339124937724,45.461113487722,294327.504,5035695.921
71,Sherbrooke,7141 Ouest (Univ. Concordia),Ville-Marie,Est,OUI,-73.6390046231868,45.4576841863023,293928.62,5035315.5
72,Sherbrooke,West Broadway,Côte-des-Neiges - Notre-Dame-de-Grâce,Est,OUI,-73.6402168285962,45.4565341627525,293833.592,5035187.863
92,Côte-Saint-Luc,Earnscliffe,Côte-des-Neiges - Notre-Dame-de-Grâce,Ouest,NON,-73.6246439834258,45.4791076160486,295055.44,5037694.44
130,Barclay,Côte-des-Neiges,Côte-des-Neiges - Notre-Dame-de-Grâce,Sud,OUI,-73.635737339548,45.5024526813121,294192.554,5040290.188
132,Hutchison,Ogilvy,Villeray - Saint-Michel - Parc-Extension,Est,OUI,-73.6245945282836,45.5302019142485,295068.114,5043372.57
